,open,close,high,low,volume,money
2016-04-30,2935.38,2938.32,2950.58,2930.36,10931062800.0,128502732169.0
2016-05-31,2822.59,2916.62,2917.14,2822.59,21526034100.0,236528504779.0
2016-06-30,2931.48,2929.61,2938.14,2922.31,15446493000.0,187459798100.0
2016-07-31,2992.54,2979.34,3000.05,2972.92,15010153400.0,170198566552.0
2016-08-31,3072.92,3085.49,3087.7,3063.4,14136860900.0,168986117678.0
2016-09-30,2994.25,3004.7,3009.2,2993.06,10133356200.0,112794538478.0
2016-10-31,3097.19,3100.49,3102.3,3081.07,15150676400.0,178427745444.0
2016-11-30,3272.14,3250.03,3277.27,3239.52,24357605300.0,262808738181.0
2016-12-31,3097.35,3103.64,3108.84,3089.99,13326713000.0,151732781753.0
2017-01-31,3149.22,3159.17,3163.1,3148.91,11387677200.0,125013193942.0
2017-02-28,3225.97,3241.73,3242.68,3225.97,15124431800.0,186019288810.0
2017-03-31,3206.25,3222.51,3226.25,3205.54,19644292200.0,214036159962.0
2017-04-30,3144.02,3154.66,3154.73,3136.58,16288989900.0,183195769806.0
2017-05-31,3125.33,3117.18,3143.28,3111.56,15295043000.0,177913309936.0
2017-06-30,3176.95,3192.43,3193.24,3171.57,12146454300.0,143195603458.0
2017-07-31,3252.75,3273.03,3276.95,3251.19,24603944000.0,253525920802.0
2017-08-31,3361.46,3360.81,3367.36,3340.69,23441978100.0,269133107793.0
2017-09-30,3340.31,3348.94,3357.02,3340.31,14486244300.0,175892822952.0
2017-10-31,3381.0,3393.34,3397.1,3376.12,15349820600.0,199929584473.0
2017-11-30,3328.64,3317.19,3340.92,3306.28,15659585100.0,192076785070.0
2017-12-31,3295.25,3307.17,3308.22,3292.77,14158683600.0,170356755129.0
2018-01-31,3470.51,3480.83,3495.45,3454.73,20725340300.0,242657958628.0
2018-02-28,3264.06,3259.41,3277.83,3239.84,15104353600.0,180233815226.0
2018-03-31,3161.79,3168.9,3177.72,3152.89,15464659600.0,196006696915.0
2018-04-30,3082.41,3082.23,3088.03,3049.91,13122564300.0,179520260002.0
2018-05-31,3061.83,3095.47,3098.08,3054.27,14047553200.0,185199037044.0
2018-06-30,2789.81,2847.42,2848.37,2782.38,12567168500.0,135652377932.0
2018-07-31,2866.9,2876.4,2884.68,2854.32,11893111700.0,119528767879.0
2018-08-31,2730.11,2725.25,2744.63,2710.54,10975874200.0,114813353927.7
2018-09-30,2794.26,2821.35,2821.76,2791.84,13429045600.0,125369989365.6
2018-10-31,2573.01,2602.78,2612.92,2567.03,18055034800.0,154894735273.8
2018-11-30,2564.56,2588.19,2590.21,2555.32,13932902100.0,112219827151.0
2018-12-31,2483.62,2493.9,2505.11,2478.32,11924525000.0,105980853017.0
2019-01-31,2581.33,2584.57,2606.63,2571.58,15430386900.0,126013247424.1
2019-02-28,2950.05,2940.95,2965.3,2930.2,35020660200.0,298763953094.6
2019-03-31,3000.68,3090.76,3093.03,2999.99,37508299100.0,386699608662.9
2019-04-30,3052.62,3078.34,3088.41,3052.62,22230251700.0,225498129185.1
2019-05-31,2904.5,2898.7,2922.91,2895.58,19523058000.0,191280403618.3
2019-06-30,2992.24,2978.88,2992.24,2961.22,18143152300.0,183641767342.2
2019-07-31,2944.4,2932.51,2944.4,2926.49,14105234800.0,164607873474.5
2019-08-31,2907.38,2886.24,2914.58,2874.1,19395995100.0,224751169931.0
2019-09-30,2927.92,2905.19,2936.48,2905.19,11664681100.0,142591702469.6
2019-10-31,2944.84,2929.06,2946.75,2923.52,16157148300.0,181801937403.8
2019-11-30,2885.97,2871.98,2892.39,2858.58,12261296800.0,140371316361.6
2019-12-31,3036.39,3050.12,3051.68,3030.51,21742902200.0,226763991349.5
2020-01-31,3037.95,2976.53,3045.04,2955.35,27276323400.0,327490360408.2
2020-02-29,2924.64,2880.3,2948.13,2878.54,40121691400.0,432657775045.3
2020-03-31,2767.31,2750.3,2771.17,2743.12,21859867400.0,224271061569.1
2020-04-30,2832.38,2860.08,2865.59,2832.38,24245527800.0,277440934007.1
