,open,close,high,low,volume,money
2016-04-30,8.16,8.2,8.31,8.07,21168114.0,174391017.0
2016-05-31,7.35,7.62,7.65,7.35,37217480.0,280813376.0
2016-06-30,7.75,7.67,7.75,7.66,14678137.0,112802746.0
2016-07-31,8.97,8.49,9.06,8.47,85542742.0,751331899.0
2016-08-31,8.73,8.64,8.74,8.6,21041926.0,181946296.0
2016-09-30,8.19,8.19,8.24,8.16,12835348.0,105168480.0
2016-10-31,8.17,8.13,8.18,8.08,16299858.0,132310425.0
2016-11-30,8.49,8.44,8.54,8.4,24544861.0,207429341.0
2016-12-31,8.12,8.2,8.22,8.12,7696895.0,62899817.0
2017-01-31,8.62,8.65,8.7,8.61,15224293.0,131843407.0
2017-02-28,8.61,8.58,8.66,8.55,18830926.0,161774119.0
2017-03-31,8.33,8.37,8.39,8.32,9456155.0,79022106.0
2017-04-30,8.49,8.47,8.53,8.42,16899906.0,142936124.0
2017-05-31,8.37,8.31,8.43,8.3,8533259.0,71325546.0
2017-06-30,8.73,8.67,8.75,8.66,17444979.0,151729950.0
2017-07-31,9.97,9.87,10.03,9.64,116959257.0,1152897172.0
2017-08-31,10.02,10.11,10.24,10.02,49597331.0,501637236.0
2017-09-30,9.28,9.33,9.35,9.23,20327023.0,188851072.0
2017-10-31,9.34,9.35,9.36,9.28,16392363.0,152902313.0
2017-11-30,9.9,9.92,10.04,9.74,50936607.0,503171482.0
2017-12-31,10.42,10.65,10.78,10.42,90167783.0,959181354.0
2018-01-31,11.33,11.34,11.43,11.15,64098817.0,724677364.0
2018-02-28,11.56,11.52,11.63,11.29,67953318.0,780391790.0
2018-03-31,10.29,10.15,10.32,10.08,37041849.0,376287378.0
2018-04-30,10.05,9.91,10.08,9.87,35898446.0,358240907.0
2018-05-31,11.48,11.87,11.91,11.32,88155870.0,1025376566.0
2018-06-30,10.57,11.08,11.15,10.52,60513205.0,659075818.0
2018-07-31,10.81,10.83,10.84,10.72,19504713.0,210362027.0
2018-08-31,9.9,9.75,9.93,9.72,28206855.0,275991930.0
2018-09-30,8.99,9.05,9.06,8.98,23097375.0,208454713.0
2018-10-31,8.26,8.23,8.33,8.11,37493142.0,308996314.0
2018-11-30,8.18,8.41,8.5,8.17,57650568.0,482529239.0
2018-12-31,8.89,8.95,9.01,8.79,35117617.0,313154836.0
2019-01-31,9.21,9.19,9.26,9.08,32708192.0,299922354.0
2019-02-28,10.04,10.07,10.19,10.03,41165877.0,416105250.0
2019-03-31,15.25,15.95,16.47,14.75,366931061.0,5745817326.0
2019-04-30,18.95,18.83,19.17,18.48,187170864.0,3532755665.0
2019-05-31,16.19,15.36,16.4,15.32,234554970.0,3702341290.0
2019-06-30,15.06,14.84,15.06,14.68,107241165.0,1590600028.0
2019-07-31,14.7,14.2,14.8,14.2,74521359.0,1077495435.0
2019-08-31,13.55,13.13,13.57,13.1,90849613.0,1211049143.0
2019-09-30,13.36,13.24,13.48,13.16,27878597.0,370298973.0
2019-10-31,13.01,13.02,13.23,13.01,27378404.0,357915663.0
2019-11-30,12.43,12.4,12.47,12.32,20549728.0,254508745.0
2019-12-31,13.67,13.62,13.88,13.46,95381588.0,1304266798.66
2020-01-31,12.94,12.59,12.95,12.4,71700723.0,908548155.51
2020-02-29,12.52,12.16,12.7,12.12,78632336.0,972750058.8
2020-03-31,11.37,11.21,11.41,11.19,24761037.0,279391342.12
2020-04-30,11.23,11.39,11.46,11.23,59562058.0,676820067.14
